Name,Description (Semantic Meaning),Data Type,Units,Possible Values / Categories,Potential Data Quality Issues
product_id,Product ID,Text,-,Alphanumeric strings,Duplicated products
product_name,Name of the Product,Text,-,Text,"Long strings, special characters, too much information"
category,Category of the Product,Categorical,-,"e.g., Electronics, Computers, Home&Kitchen",Values are grouped using a pipe |
discounted_price,Discounted Price of the Product,Numerical,Currency (₹),> 0,Contains currency symbol and commas. Must be cleaned and converted to float.
actual_price,Actual Price of the Product,Numerical,Currency (₹),> 0,Contains currency symbol and commas. Must be cleaned and converted to float.
discount_percentage,Percentage of Discount for the Product,Numerical,Percentage (%),0% to 100%,Contains '%' symbol.
rating,Rating of the Product,Numerical,Stars,1.0 to 5.0,Some rows contain invalid characters
rating_count,Number of people who voted for the Amazon rating,Numerical,Count,> 0,Contains commas to separate thousands
about_product,Description about the Product,Text,-,Text,Contains special characters and diferent formats of text
user_id,ID of the user who wrote review for the Product,Text,-,Alphanumeric strings,Multiple IDs are concatenated.
user_name,Name of the user who wrote review for the Product,Text,-,Text,Multiple names are concatenated.
review_id,ID of the user review,Text,-,Alphanumeric strings,Multiple IDs are concatenated.
review_title,Short review,Text,-,Text,Multiple titles concatenated.
review_content,Long review,Text,-,Text,"Emojis, multiple languages."
img_link,Image Link of the Product,Text,-,URL,Links might be broken.
product_link,Official Website Link of the Product,Text,-,URL,Links might be broken.
